Security,Last Price,Demand Qty,Demand Price,Supply Price,Supply Qty,Last Qty ,High ,Low
ARM,0,0,0,0,0,0,0,0
BAMB,37.9,20000,37.6,37.9,9200,800,37.9,37.6
BAT,450,400,439,449.75,1700,100,450,440
BBK,11.85,1800,11.75,11.85,3800,100,12,11.75
BERG,30.5,3300,27.45,32,2600,5000,30.5,30.5
BKG,30,1300,30,30.5,9400,1500000,30,30
BOC,72.5,1700,72.5,73,2900,1500,72.5,72.5
BRIT,7.12,5700,7.02,7.12,4900,100,7.12,7.02
CABL,1.12,3500,1.13,1.20,400,600,1.12,1.12
CARB,11.00,1600,10.80,10.85,1700,0,0.00,0.00
CFC,90.00,700,90.00,91.50,2900,0,0.00,0.00
CFCI,6.50,2300,6.50,6.90,22300,2700,6.88,6.50
CG,54.00,400,52.00,59.25,200,0,0.00,0.00
CIC,2.25,0,0.00,0.00,0,100,2.25,2.25
COOP,12.95,6000,12.00,0.00,0,8000,13.10,12.95
DTK,59.00,500,55.00,60.00,1600,1000,60.00,59.00
EABL,163.00,1100,163.00,170.00,10000,1000,165.00,163.00
EGAD,13.50,0,0.00,0.00,0,100,13.50,13.50
EQT,52.75,50000,50.00,53.00,1400,5800,53.00,52.25
EVRD,0.99,0,0.00,0.00,0,100,1.00,0.98
FAHARI,6.30,500,5.88,0.00,0,500,6.50,6.30
FIRE,2.75,0,0.00,0.00,0,1000,2.83,2.75
FTGH,1.33,0,0.00,0.00,0,100,1.38,1.33
GLD,1880.00,0,0.00,0.00,0,0,0.00,0.00
HAFR,0.38,0,0.00,0.00,0,2500,0.39,0.38
HFCK,3.60,10000,3.38,0.00,0,600,3.60,3.53
ICDC,14.05,57600,13.80,14.30,21800,300,14.25,14.05
IM,21.30,10500,20.05,21.50,99600,200,21.50,20.90
JUB,300.00,1000,295.00,0.00,0,100,300.00,300.00
KAPC,92.00,0,0.00,0.00,0,0,0.00,0.00
KCB,46.60,69800,45.00,47.00,800,9900,47.35,46.60
KEGN,4.00,0,0.00,4.00,2300,1200,4.08,3.98
KNRE,2.26,300,2.25,2.33,56800,100,2.28,2.21
KPLC,1.64,28400,1.57,0.00,0,1100,1.69,1.57
KPLCP,4.53,0,0.00,0.00,0,0,0.00,0.00
KQ,0.00,0,0.00,0.00,0,0,0.00,0.00
KUKZ,418.00,200,386.00,420.00,12000,0,0.00,0.00
KURV,1500.00,0,0.00,0.00,0,0,0.00,0.00
LIMT,32.00,0,0.00,0.00,0,0,0.00,0.00
LKL,4.00,0,0.00,0.00,0,0,0.00,0.00
MSC,0.00,0,0.00,0.00,0,0,0.00,0.00
NBK,0.00,0,0.00,0.00,0,0,0.00,0.00
NBV,4.93,20000,4.95,5.30,30000,14900,5.14,4.93
NIC,25.45,3200,25.10,26.00,5800,100,26.00,25.55
NMG,19.00,8100,18.60,20.00,12500,200,19.00,19.00
